911,WATCH NOW
912,EXPLORE NOW
913,LEARN MORE
914,FIND OUT MORE
915,HOW IT WORKS
916,CLICK FOR DETAILS
917,GET DETAILS
918,VIEW FEATURES
919,MORE INFO
920,CONTINUE READING
921,SEE PLANS & PRICING
1011,TRY IT TODAY
1012,WATCH NOW
1013,EXPLORE NOW
1014,I'm in ! Show me MORE
1015,CLICK to SAVE
1016,SHOP EARLY
1017,BE THE 1st of YOUR FRIENDS
1018,CLAIM OFFER
1019,YES PLEASE
1020,ORDER EARLY
1021,TAKE THE NEXT SETP
1022,CHECK IT OUT
1022,CHECK IT OUT
1023,LEARN WHAT'S NEW
1024,GET THIS DEAL
1111,FREE SHIPPING
1112,GET A DISCOUNT
1113,X% OFF
1114,GET IT FOR FREE
1115,CLICK to SAVE
1116,CLAIM OFFER
1117,YES PLEASE
1118,ORDER EARLY
1119,GET THIS DEAL
1120,START SAVING TODAY
1121,ORDER NOW to RECEIVE a GIFT
1211,VIEW FEATURES
1212,MORE INFO
1213,HOW IT WORKS
1214,EXPLORE NOW
1215,LEARN NORE
1216,CONTINUE READING
1217,SEE MORE
1311,BUY NOW 
1312,SHOP NOW 
1313,BUY 
1314,I'M IN! SHOW ME MORE
1315,I WANT IT
1316,WATCH NOW 
1317,VISIT NOW
1318,GO NOW 
1319,GET STARTED
1320,TAKE THE NEXT SETP
1321,CHECK IT OUT
1322,SEE PLANS & PRICING
1323,GET THIS DEAL
1324,ADD TO BASKET
1325,ORDER NOW 
1326,PURCHASE NOW 
1327,SUBSCIRBE TODAY
